N1	N10	N103	N109	N111	N114	N12	N120	N123	N124	N125	N132	N133	N139	N160	N162	N166	N167	N172	N178	N18	N182	N185	N186	N19	N198	N201	N202	N209	N210	N216	N229	N231	N232	N250	N258	N26	N265	N271	N273	N274	N279	N28	N283	N286	N289	N300	N31	N312	N314	N318	N319	N32	N325	N326	N329	N330	N334	N335	N339	N34	N340	N342	N349	N37	N373	N375	N378	N384	N391	N393	N405	N408	N431	N434	N467	N47	N473	N480	N482	N487	N496	N498	N50	N502	N508	N509	N513	N515	N521	N54	N551	N558	N563	N565	N57	N574	N576	N577	N58	N585	N587	N595	N6	N60	N600	N605	N607	N608	N61	N613	N62	N637	N64	N643	N659	N67	N69	N71	N716	N72	N727	N728	N729	N78	N85	N92	N96
chr2:157573045	0.54	0.6	0.53	0.51	0.47	0.62	0.59	0.59	0.59	0.34	0.61	0.51	0.42	0.65	0.42	0.61	0.57	0.48	0.66	0.53	0.29	0.68	0.46	0.49	0.51	0.48	0.49	0.45	0.44	0.59	0.58	0.38	0.43	0.49	0.51	0.57	0.4	0.48	0.69	0.49	0.53	0.44	0.4	0.5	0.54	0.53	0.4	0.52	0.55	0.46	0.64	0.5	0.65	0.5	0.59	0.47	0.8	0.65	0.63	0.56	0.54	0.44	0.68	0.62	0.56	0.62	0.32	0.59	0.51	0.54	0.52	0.41	0.42	0.6	0.72	0.68	0.63	0.53	0.49	0.49	0.65	0.52	0.54	0.61	0.54	0.51	0.52	0.51	0.47	0.56	0.52	0.41	0.68	0.56	0.62	0.68	0.45	0.52	0.25	0.62	0.48	0.57	0.65	0.56	0.63	0.58	0.47	0.47	0.56	0.65	0.53	0.52	0.47	0.56	0.56	0.35	0.71	0.35	0.43	0.5	0.3	0.49	0.42	0.39	0.76	0.59	0.4	0.43
chr2:159175191	1	0	0	0	0	0	0.88	0	1	0	1	0	0	0	0.86	0	0	0	1	1	0	0.8	1	0	0	0	0	0	1	1	0	0.8	0	0	0.8	0.83	1	0	1	0	0	0.75	0	0	0.83	1	1	0	0	0	0.91	0.83	0.89	0	1	0.8	0	1	0	0	0	0	0	1	0	1	1	1	0.9	0	0.75	0.83	0	1	0	0	0	1	1	1	1	0	0	0	0	0.88	1	0.8	0	1	1	1	1	1	0	0.83	0	0	0	0	0	1	0.78	0.8	1	1	1	0.83	0.83	0.8	0	0	0.83	1	0	0	0	0	1	1	1	0	0.88	0	0	1	0.75	0
chr2:159185482	0	0	0	0	0	0	0.56	0.4	0	0.5	0.71	0	0.8	0.8	0.45	0.5	0.57	0	0	0.6	0	0.67	0.33	0	0.73	0.83	0.33	0.89	0	0	0.6	0	0	0	0	0.8	0.12	0	0	0.62	0.67	0.55	0	0.44	0.55	0.6	0.4	0	0	0	0.5	0.4	0	0	0.29	0	0	0.71	1	0	0.4	0.78	0	0	0	0.83	0.62	0.33	0	0.67	0.84	0.33	0	0.6	0.67	0.67	0	0.71	0	0.62	0.2	0.2	0	0	0	0.71	0.8	0.71	0.6	0.62	0.33	0.43	0	0.83	0.83	0	0.5	0	0	0.8	0	0.6	0.33	0	0	0	0	0.4	0.6	0.75	0	0.4	0	0	0	0.4	0	0	0.8	0.38	0.67	0	0.7	0	0	0.8	0.69	0
chr2:161570734	0	1	0.5	0.56	0.17	0.71	0	0.83	0.82	0.2	0.64	0.89	0.82	0.67	0.5	0	0	0	0.86	0.71	0	0.62	0.62	0.86	0.78	0.7	0.67	0.6	0	0.43	0.67	0	0	0	0.67	0.8	0.67	0.2	0	1	0.8	0.6	0.75	0.67	1	0.43	1	0.69	0.67	0.71	0.44	0.88	0.79	0.33	0.46	0.73	0.44	0.9	0	0	0	0.44	0	0.86	0.6	0.75	0.73	0.33	0	0.5	0.77	0.46	0	0.85	0	0	0	0.4	0.62	0.5	0.75	0.44	0	0.71	0	0.78	0.85	0.77	0	0.77	0.82	0.71	0.86	0.67	0	1	0.67	0.5	0	0.56	0	0.64	0.83	0.67	0.67	0.85	0.5	0	0.57	0.29	0	0	0.17	0	0.73	0	0	0	0.5	0.71	0	0.83	0.81	0.88	0.67	0.62	0.57	0
chr2:161576670	0.75	1	0	1	0.89	0.6	0.82	0.6	0.6	1	1	0.75	0	0.8	0.53	0.6	0	0	0.92	0.89	0	0.67	0	0	0.86	0.86	0.91	0.75	0	0.67	0	0.83	0.71	1	0	0	0	0	0	0	0.6	0	0.88	0	0.67	1	1	0.83	0	0.92	0.69	0	0.83	0.75	1	1	0.71	0	0.89	0	0	0	0.75	0.83	0	0.94	0.67	0.8	0.86	0.5	0.67	0.78	0	0.72	1	0	0	0	0.7	0.58	0.8	0.86	0	1	0	0.8	0.83	1	0	0.85	0.33	0.67	1	0.67	0	0	0	1	0.71	1	0	0.8	0.86	0	0.71	1	0.86	0.83	0.6	0.69	0	0	0.57	0.83	0.75	0	0	0	0.69	0	0.71	0	0.86	0.75	1	0.71	0.8	0
chr2:162181743	0.85	0.86	0	0.5	1	0.91	0.67	0.57	0.89	0.5	0.73	0.9	0.78	0.62	0.88	0.64	0.53	0	0.62	0.5	0.62	0.7	0.71	0.83	0.74	0.82	0.56	0.88	0.67	1	0.67	0.86	0.56	0	1	0.9	0.8	0.83	1	1	0.67	0.9	0.62	0.77	0.8	0.69	0.64	0.62	0.87	0.62	0.77	0.78	0.92	0.64	0.82	0.7	1	0.69	0.38	0.82	0.5	0.75	0.93	0.69	0.55	0.76	0.3	0.77	0.78	0.42	0.74	0.81	0.82	0.77	0.67	0.93	0	0.81	0.75	0.71	0.88	0.92	0.71	0.9	0.71	0.89	0.88	0.78	1	0.92	0.82	0.67	0.73	0.67	0	0	0.78	1	0.9	0.94	0	0.71	0.79	0.67	0.78	0.44	0.83	0.77	0.67	0.64	0.55	0.86	0.85	0.86	0.64	0.5	0	0.8	0.6	0.75	0.77	0.67	0.67	0.71	0.69	0.88	0.59	0.71
chr2:163878914	0.5	0.13	0.49	0.41	0.33	0.53	0.41	0.46	0.2	0.2	0.45	0.38	0.38	0.42	0.27	0.36	0.33	0.4	0.5	0.44	0.41	0.47	0.54	0.53	0.19	0.58	0.2	0.42	0.29	0.31	0.43	0.46	0.38	0.44	0.43	0.58	0.35	0.42	0.38	0.61	0.17	0.38	0.32	0.19	0.32	0.29	0.57	0.42	0.36	0.6	0.41	0.44	0.29	0.23	0.41	0.34	0.6	0.29	0.5	0.51	0.64	0.53	0.26	0.39	0.41	0.42	0.26	0.43	0.49	0.29	0.3	0.27	0.3	0.55	0.47	0.5	0.54	0.5	0.25	0.39	0.54	0.53	0.57	0.33	0.42	0.53	0.41	0.4	0.29	0.48	0.35	0.29	0.42	0.41	0.54	0.36	0.24	0.43	0.39	0.34	0.45	0.37	0.4	0.55	0.48	0.6	0.38	0.52	0.37	0.52	0.31	0.51	0.69	0.56	0.48	0.58	0.56	0.53	0.47	0.34	0.35	0.41	0.34	0.38	0.47	0.6	0.47	0.41
chr2:167869462	0.7	0.4	0.64	0.8	0.5	0.38	0.85	0.71	0.5	0.6	0.78	0.67	0.67	0.8	0.67	0.87	0.57	0	0.62	0.88	0.71	0.54	0.77	0.73	0.8	0.69	0.5	0.5	0.67	0.75	0.67	0	0.8	0.56	0.56	0.85	0.79	0.73	0.83	0.88	0.8	0.73	0.76	0.71	0.75	0.79	0.75	0.74	0.73	0.64	0.65	0.83	0.87	0.89	0.75	0.78	0.38	0.6	0.73	0.67	0.7	0.75	0.88	0.72	0.67	0.83	0.71	0.9	0.68	0.75	0.54	0.44	0.56	0.7	0.83	0.73	0.67	0.73	0.92	0.68	0.62	0.67	0.36	0.75	0.73	0.62	0.78	0.75	0.91	0.8	0.64	0.83	1	0.61	0.75	0	0.65	0.79	0.72	0.75	0	0.6	0.89	0.62	0.75	1	0.62	0.5	0.83	0.75	0.91	0.79	0.69	0.67	0.64	0.75	0	0.75	0.73	0.79	0.72	0	0.82	0.5	0.78	0.71	0.65	0
chr2:168948827	0.25	0.47	0.36	0.36	0.28	0.15	0.26	0.23	0.33	0.53	0.37	0.23	0.23	0.55	0.48	0.44	0.19	0.25	0.38	0.26	0.71	0.28	0.1	0.3	0.31	0.36	0.28	0.14	0.38	0.56	0.43	0.22	0.2	0.4	0.5	0.41	0.34	0.21	0.09	0.17	0.21	0.27	0.39	0.21	0.33	0.35	0.31	0.28	0.63	0.36	0.23	0.18	0.37	0.32	0.37	0.5	0.76	0.57	0.5	0.59	0.31	0.16	0.55	0.42	0.33	0.12	0.23	0.41	0.43	0.64	0.31	0.15	0.46	0.11	0.41	0.54	0.6	0.25	0.35	0.32	0.45	0.57	0.5	0.25	0.4	0.39	0.28	0.33	0.29	0.37	0.42	0.26	0.38	0.43	0.11	0.53	0.48	0.25	0.54	0.5	0.3	0.54	0.36	0.47	0.34	0.46	0.3	0.5	0.39	0.38	0.44	0.26	0.38	0.17	0.25	0.52	0.4	0.4	0.28	0.37	0.34	0.5	0.15	0.38	0.54	0.52	0.4	0.42
chr2:169222270	1	0	0.89	0.88	0.45	0.3	0	0.43	0.92	1	0.84	0.92	0.45	0.86	0.86	0.57	0	0.33	0.63	0.42	0.36	0.41	0.95	0.88	0.4	1	0.48	0.39	0.91	0.48	0.33	0.93	0.21	0.12	0.95	0	0.39	0.18	0.38	0.45	0.91	0.38	0.67	0.44	0	1	0.5	0.96	0.33	0	0.97	0.42	0.5	0	0.32	0.97	0.5	0.92	0	1	0.43	0.95	0.92	0.93	0.73	0.9	0.89	0	0.51	0.5	0.38	0.39	0.65	0.94	0.5	0.43	1	0.46	1	0.42	0.92	0.26	0.59	0	0	0.37	0.5	0.34	1	0.97	0	0.86	0.4	0.88	0.8	0.12	0.54	0.81	0.56	1	0.86	0.52	0.41	0	0.52	0	0.96	0	0.92	0.46	1	0.43	0.91	0.4	0.57	0	0	0.25	0	0.95	0.5	0.33	0.52	0.38	1	0	0.56	0.19
chr2:171541413	0.6	0.72	0.65	0.55	0.48	0.53	0.44	0.57	0.4	0.42	0.43	0.44	0.47	0.64	0.31	0.57	0.64	0.56	0.61	0.41	0.52	0.63	0.54	0.47	0.77	0.52	0.44	0.66	0.68	0.63	0.48	0.54	0.38	0.7	0.53	0.56	0.66	0.62	0.34	0.43	0.58	0.36	0.48	0.52	0.59	0.5	0.37	0.61	0.68	0.58	0.38	0.77	0.56	0.59	0.52	0.6	0.36	0.71	0.53	0.73	0.35	0.62	0.55	0.38	0.59	0.47	0.79	0.52	0.68	0.35	0.64	0.46	0.59	0.38	0.33	0.52	0.74	0.57	0.39	0.39	0.61	0.54	0.39	0.53	0.53	0.67	0.78	0.48	0.41	0.42	0.59	0.84	0.48	0.68	0.4	0.77	0.65	0.66	0.77	0.53	0.38	0.48	0.58	0.49	0.67	0.58	0.44	0.4	0.55	0.48	0.57	0.67	0.2	0.64	0.54	0.64	0.23	0.62	0.56	0.54	0.61	0.49	0.48	0.52	0.67	0.62	0.82	0.68
chr2:172226526	0.53	0.25	0.33	0.5	0.71	0.29	0.67	0.6	0.33	0.67	0.88	0.85	0.6	0.5	0.36	0.43	0	0	0.17	0.75	0.4	0.6	0.67	0.27	0.22	0.43	0.45	0.33	0	0.71	0	0.83	0.75	0	0	0.33	0.8	0.58	0.6	0.57	0.5	0.33	0.9	0.86	0.55	0.42	0.67	0.6	0.14	0.45	0.4	0.43	0.89	0.71	0.69	0.78	0.12	0.64	0.43	0.6	0.43	0.71	0.62	0.29	0.5	0.46	0.38	0.55	0.4	0.45	0.33	0.42	0.62	0.56	0.17	0.75	0	0.5	0.64	0.65	0.69	0.29	0	0.88	0.67	0.6	0.59	0.5	0.62	0.48	0.28	0.69	0.8	0.69	0.29	0	0.57	0.4	0.5	0.5	0.5	0.33	0.55	0.57	0.14	0.42	1	0.6	0.33	0.38	0.29	0	0.5	0.67	0.5	0.56	0	0	0.58	0.92	0.29	0.86	0.64	0.2	0.77	0.69	0.46	0.83
chr2:172972090	0.71	0.57	0.64	0.22	0.67	0.45	0.59	0.5	0.86	0.38	0.8	0.47	0	0.69	0.64	0.5	0	0	0.82	0.22	0.62	0.6	0.6	0.77	0.83	0.69	0.52	0.4	0.54	0.62	0.75	0.67	0.45	0.5	0.83	0.63	0.68	0.6	0.62	0.48	0.69	0.71	0.56	0.69	0.78	0.62	0.8	0.86	0.56	0.48	0.67	0.71	0.86	0.54	0.75	0.81	0.84	0.77	0.74	0.45	0.68	0.73	0.55	0.64	0.58	0.4	0.79	0.68	0.7	0.83	0.71	0.45	0.56	0.7	0.55	0.85	0.62	0.56	0.8	0.56	0.79	0.71	0.76	0.41	0.4	0.82	0.62	0.79	0.64	0.71	0.75	0.84	0.65	0.47	0.62	0.9	1	0.69	0.68	0.45	0.5	0.58	0.74	0.7	0.5	0.52	0.48	0.95	0.75	0.42	0.92	0.67	0.67	0.89	0.29	0.73	0	0.53	0.67	0.62	0.53	0.54	0.67	0.5	0.63	0.88	0.48	0.61
chr2:172977400	0.43	0	0.29	0.29	0.57	0.67	0.7	0.5	0.78	0.8	0.6	0.78	0	0	0.47	0.3	0	0	0	0.67	0	0.57	0.64	0	0.86	0.38	0.18	0.67	0.44	0.7	0	0	0.2	0	0	0	0.2	0.5	1	0.4	0.44	0.43	0.92	0.75	0.74	0.43	0.67	0.33	0.5	0.5	0.4	0.33	0.67	0.4	0	0.5	0.5	0.55	0.2	0.71	0.57	0	0.6	0.5	0	0.57	0.67	0.43	0.4	0.22	0.39	0.38	0	0.52	0.69	0.67	0	0.78	0	0.62	0.8	0.55	0.43	0.88	0.6	0.54	0.84	0.5	0.4	0.38	0.7	0.4	0.5	0.5	0.71	0.67	0.38	0.67	0.8	0	0	0.5	0.45	0.6	0.46	0.56	0.67	0.22	0.46	0	0.6	0.6	0	0.6	0.75	0.67	0	0.8	0.55	0.71	0.6	0.78	0.57	0.17	0.55	0.62	0.53	0.71
chr2:173028746	0.33	0.12	0.5	0.58	0.36	0.38	0.44	0.33	0.54	0.44	0.42	0.39	0.39	0.57	0.36	0.71	0.29	0	0.23	0.14	0	0.29	0.07	0.27	0.44	0.5	0.44	0.31	0.31	0.12	0.21	0.5	0.42	0.5	0.2	0.54	1	0.33	0.55	0.42	0.58	0.33	0.11	0.54	0.26	0.3	0.44	0.25	0.67	0.3	0.37	0.7	0.32	0.22	0.27	0.4	0.08	0.38	0.35	0.22	0.38	0.27	0.64	0.44	0.44	0.53	0.5	0.29	0.47	0.44	0.33	0.3	0.25	0.45	0.38	0.12	0.29	0.47	0.44	0.37	0.33	0.2	0.43	0.3	0.55	0.37	0.52	0.36	0.43	0.29	0.27	0.32	0.26	0.62	0.3	0	0.43	0.41	0.33	0.18	0.33	0.44	0.23	0.36	0.28	0.35	0.63	0.33	0.4	0.41	0.21	0.18	0.55	0.45	0.33	0.5	0	0.73	0.4	0.6	0.27	0.3	0.21	0.29	0.56	0	0.43	0.4
chr2:173431323	0.71	0.56	0.5	0.8	0.63	0.54	0.74	0.57	0.69	0.48	0.83	0.85	0.71	0.71	0.58	0.61	0.69	0.5	0.89	0.76	0.77	0.74	0.8	0.74	0.77	0.67	0.58	0.64	0.5	0.6	0.87	0.75	0.58	0.54	0.76	0.73	0.63	0.77	0.63	0.76	0.66	0.71	0.68	0.62	0.7	0.71	0.67	0.61	0.82	0.79	0.61	0.61	0.52	0.79	0.73	0.6	0.82	0.62	0.92	0.63	0.79	0.57	0.68	0.76	0.57	0.67	0.54	0.8	0.71	0.7	0.67	0.7	0.72	0.84	0.68	0.61	0.67	0.75	0.81	0.69	0.85	0.74	0.67	0.62	0.68	0.78	0.75	0.68	0.62	0.81	0.58	0.78	0.68	0.63	0.67	0.78	0.7	0.56	0.55	0.84	0.94	0.86	0.59	0.64	0.45	0.92	0.59	0.81	0.79	0.82	0.82	0.73	0.6	0.88	0.71	0.7	0	0.68	0.66	0.7	0.76	0.8	0.67	0.73	0.79	0.85	0.62	0.78
chr2:174751422	0.72	0.67	0.73	0.72	0.62	0.74	0.74	0.72	0.68	0.5	0.67	0.72	0.73	0.78	0.69	0.9	0.7	0.73	0.8	0.71	0.74	0.53	0.86	0.75	0.77	0.78	0.67	0.79	0.7	0.71	0.67	0.7	0.57	0.6	0.83	0.86	0.55	0.79	0.57	0.67	0.74	0.72	0.73	0.71	0.75	0.7	0.88	0.71	0.63	0.82	0.64	0.69	0.77	0.48	0.82	0.64	0.83	0.76	0.77	0.89	0.72	0.63	0.71	0.77	0.63	0.66	0.7	0.87	0.77	0.9	0.68	0.78	0.56	0.86	0.94	0.84	0.8	0.78	0.73	0.8	0.75	0.84	0.79	0.64	0.78	0.96	0.74	0.42	0.94	0.71	0.77	0.83	0.62	0.52	0.76	0.75	0.71	0.72	0.78	0.85	0.8	0.67	0.7	0.75	0.78	0.75	0.43	0.72	0.79	0.69	0.91	0.89	0.76	0.57	0.65	0.91	0.75	0.54	0.71	0.75	0.9	0.8	0.69	0.74	0.74	0.92	0.59	0.5
chr2:177056512	0.71	0.73	0.73	0.63	0.83	0.86	0.6	0.85	0.6	0.45	0.95	0.65	0.22	0.65	0.58	0.67	0.45	0.7	0.58	0.75	0.68	0.75	0.74	0.76	0.71	0.81	0.62	0.82	0.43	0.53	0.65	0.93	0.53	0	0.57	0.76	0.47	0.76	0.82	0.73	0.59	0.67	0.79	0.39	0.35	0.79	0.78	0.8	0.57	0.58	0.76	0.79	0.38	0.58	0.74	0.83	0.79	0.83	0.77	0.92	0.85	0.7	0.85	0.89	0.53	0.77	0.63	0.68	0.8	0.67	0.65	0.62	1	0.91	0.86	0.61	0.78	0.86	0.8	0.69	0.72	0.88	0.64	0.62	0.78	0.71	0.74	0.47	0.82	0.78	0.86	0.75	0.53	0.74	1	0.88	0.64	1	0.81	0.67	0.83	0.75	0.72	0.78	0.75	0.9	0.81	0.72	0.5	0.84	0.62	0.7	0.67	0.69	0.66	0.69	0	0.82	0.68	0.5	0.8	0.89	0.57	0.63	0.65	0.67	0.58	0.67
chr2:177106300	0	0	0.71	0.5	0.8	0.5	1	0.7	0.82	0	0.82	0.9	1	1	1	0.44	0	0	0.75	0.86	0	0.5	0.5	0	1	1	0.7	0	0	1	0	0	0	0	0	1	0.8	0	0	0.62	0.75	1	0.8	0.8	0	0.71	1	1	0	0.62	0.62	0	1	0.7	1	0	0	0.8	0.81	0	0	0	0.71	0.8	0	1	0.89	0.8	0	0.6	0.7	0.68	0	0.88	0.83	0	0	1	0.83	0.71	0.93	0	0.38	0	0	0.95	0.8	0.78	0	0.75	0.88	0.71	0.78	0.56	0	0	0	0.6	1	0.88	0	0.67	0.67	0.91	0.78	1	0.75	0	1	1	0	0.4	0	1	1	0.6	0	0	0.67	0.78	0.71	0.8	0.78	1	0	0.85	0.8	0
chr2:177322844	0.81	0.6	0.5	0.57	0.64	0	0.59	0.25	0.25	0.73	0.41	0.73	0.75	0.5	0.33	0.75	0.83	0	0.44	0.82	0	0.38	0.45	0.38	0.34	0.36	0.5	0.55	0.83	0.5	0.29	0.83	0.82	0.27	0	0.54	0.58	0.5	0.44	0.44	0.23	0.73	1	0.5	0.64	0.63	0.69	0.67	0.7	0.65	0.54	0.44	0.82	0.7	0.47	0.65	0.11	0.67	0.43	0.4	0.78	0.73	0.88	0.65	0.5	0.38	0.4	0.57	0.54	0.5	0.78	0.56	0.8	0.5	0.57	1	0	0.8	0.57	0.53	0.43	0.56	0.2	0.6	0	0.33	0.47	0.41	0.29	0.4	0.27	0.35	0.45	0.78	0.7	0.8	0.67	0.9	0.33	0.86	0.57	0.64	0.33	0.36	0.71	0.5	0.86	0.4	0.6	0.56	0.67	0.88	0.57	0	0.72	0.25	0	0.8	0.68	0.73	0.27	0.5	0.69	0.38	0.58	0.19	0.85	0.33
chr2:177693124	1	0	0	0	0	0.64	0	0.4	0.8	0.44	0.8	0.58	0.75	0	0.87	0.8	0	0	0.82	0.88	0	0.57	0.7	0.8	0	0.86	0	1	0	0.67	1	0	1	0	1	1	0	0.8	0	1	0.67	0	1	0	1	0.92	0	0.67	0.88	0.88	0.92	1	0.92	0.7	1	1	0.78	0.91	1	0	0	0	1	0.67	0.71	0.77	0.73	1	0	1	0.79	0.94	0	0.64	0.89	0	0	0.62	0.8	0.8	0.6	0.71	0.6	0	0	0.58	0.86	0.75	0	0.89	0.71	0.77	0.78	0.94	0.67	0	0	0	1	0.83	0.8	0.9	0.91	0.33	0.8	0.62	0.64	0.67	0.8	0.83	1	0	0	1	0.69	0.88	0	0	0.83	0.88	0.7	0.8	0.75	0.79	0.83	1	0.88	0
chr2:177725222	0.17	0.47	0.18	0.34	0.21	0.26	0.25	0.24	0.21	0.37	0.24	0.29	0.15	0.46	0.17	0.18	0.25	0.19	0.27	0.52	0.18	0.17	0.21	0.23	0.23	0.22	0.3	0.24	0.08	0.22	0.21	0.11	0.11	0.17	0.44	0.45	0.23	0.22	0.4	0.5	0.13	0.24	0.44	0.08	0.33	0.28	0.28	0.28	0.23	0.31	0.31	0.22	0.33	0.48	0.54	0.13	0.59	0.51	0.55	0.47	0.22	0.26	0.35	0.43	0.27	0.29	0.15	0.25	0.22	0.31	0.13	0.14	0.34	0.25	0.28	0.19	0.52	0.31	0.21	0.18	0.43	0.34	0.35	0.35	0.2	0.4	0.41	0.12	0.29	0.64	0.43	0.17	0.27	0.3	0.4	0.43	0.33	0.28	0.35	0.5	0.27	0.3	0.28	0.2	0.18	0.23	0.32	0.26	0.4	0.35	0.31	0.2	0.33	0.28	0.44	0.25	0.18	0.36	0.26	0.52	0.37	0.36	0.32	0.21	0.28	0.46	0.38	0.44
chr2:177799858	0.33	0.56	0.39	0.12	0.4	0.2	0.55	0.28	0.15	0.33	0.43	0.25	0.25	0.68	0.34	0.42	0.41	0.43	0.32	0.22	0.42	0.33	0.38	0.36	0.33	0.29	0.37	0.29	0.33	0.35	0.33	0.33	0.35	0.47	0.21	0.4	0.3	0.5	0.26	0.41	0.27	0.3	0.43	0.23	0.31	0.45	0.17	0.22	0.52	0.35	0.11	0	0.39	0.17	0.68	0.36	0.12	0.33	0.47	0.39	0.24	0.28	0.3	0.18	0.24	0.14	0.41	0.26	0.32	0.28	0.44	0.11	0.44	0.33	0.44	0.57	0.4	0.25	0.36	0.29	0.35	0.17	0.6	0.36	0.33	0.32	0.44	0.28	0.35	0.32	0.32	0.37	0.35	0.5	0.37	0.44	0.41	0.32	0.37	0.43	0.42	0.25	0.38	0.19	0.29	0.38	0.38	0.21	0.3	0.3	0.39	0.23	0.29	0.12	0.28	0.21	0.45	0.23	0.37	0.31	0.31	0.57	0.35	0.17	0.56	0.52	0.34	0.41
chr2:178860765	0.78	0	0	0.67	0	0.5	0.63	0.5	0.62	1	0.78	0.29	0.62	1	0.41	0.55	0.67	0	0.43	0.64	0	0.73	0.38	0	0.6	0.6	0.62	0.75	0.67	0.75	0	0.62	0.6	0	0	0.73	0.71	0.67	0.57	0.5	0.36	0.75	0.5	0.55	0.75	0.62	0	0.5	0.73	0.64	0.73	0.9	0.5	0.6	0.83	0.8	1	0.71	0.62	0.62	1	0.6	1	0.53	0.9	0.25	0.56	0.5	0.6	0.29	0.69	0.47	0	0.48	0.65	0.83	0	0.69	0.5	0.58	0.71	0.78	0	0.18	0.67	0.69	0.67	0.56	0.6	0.78	0.43	0.25	0.5	0.75	0	0	0.88	0.38	0.38	0.67	0	0.87	0.56	0.67	0.74	0.53	0.82	0.57	0.5	0.12	0.6	0.43	0	0.6	0.64	0.4	0	0.4	0.28	0.57	0.75	1	0.26	0.32	0.71	0.73	0.65	0.6
chr2:182591535	0	0.71	0	0.67	0	0.57	0.67	1	0	0	0.69	0.73	0.83	0.67	0.74	0.44	1	0.62	1	0.7	0	1	0.71	0.8	0.8	0.83	0.67	0	0	0.71	0	0.6	0.22	0	0	0	0.86	0.83	0.83	0.8	0.4	0	1	0.75	0.73	0.67	0.86	0.67	0.86	1	1	0.75	0.6	0.5	0.5	1	1	0.69	0.92	0	1	0	0.8	0.93	0.86	0.92	0.71	0.67	0.6	0	0.7	0.55	0.75	0.88	0.83	0.6	0	0.9	0	0.67	0.87	1	1	0	0	0.72	0.88	0.82	0.86	0.79	0.8	0.94	0.73	0.73	0.71	1	0.83	1	0.78	1	0	0.93	0.69	0.8	0.78	0.6	0.5	0.8	0.85	0.6	1	1	0	0	0.76	0.78	0	1	0.75	0.67	0.75	0.83	0.77	0.91	0.91	0.94	0.67	0
chr2:183295131	0.86	0.59	0.53	0.71	0.56	0.68	0.28	0.65	0.65	0.48	0.42	0.78	0.68	0.85	0.68	0.65	0.64	0.68	0.62	0.77	0.48	0.67	0.68	0.81	0.83	0.7	0.61	0.78	0.59	0.77	0.75	0.68	0.46	0.78	0.75	0.31	0.44	0.52	0.71	0.61	0.68	0.62	0.69	0.72	0.58	0.67	0.5	0.71	0.69	0.74	0.57	0.73	0.7	0.85	0.61	0.74	0.9	0.74	0.87	0.67	0.78	0.81	0.69	0.58	0.44	0.78	0.65	0.42	0.66	0.76	0.7	0.63	0.5	0.81	0.54	0.72	0.68	0.73	0.7	0.67	0.79	0.8	0.68	0.71	0.68	0.76	0.48	0.78	0.68	0.5	0.93	0.59	0.68	0.52	0.73	0.64	0.84	0.41	0.64	0.59	0.67	0.78	0.6	0.74	0.52	0.65	0.7	0.65	0.76	0.64	0.5	0.61	0.59	0.56	0.83	0.82	0.91	0.76	0.77	0.68	0.44	0.83	0.65	0.7	0.43	0.4	0.72	0.62
chr2:184363418	0.62	0	0.33	0.31	0	0.43	0.55	0.55	0.71	0.6	0.5	0.5	0	0.33	0.85	0.4	0.5	0.5	0.42	0.61	0	0.45	0.17	0	0.42	0.77	0.59	0.45	0	0.54	0.23	0.38	0.44	0	0.3	0.22	0.5	0.71	0.78	0.58	0.62	0.71	0.71	0.69	0.79	0.44	0.53	0.56	0.44	0.57	0.52	0.5	0.33	0.5	0.55	0.56	0.56	0.5	0.56	0.56	0.55	0.67	0.29	0.41	0.67	0.52	0.44	0.5	0.5	0.46	0.29	0.67	0.33	0.46	0.58	0.75	0	0.75	0.62	0.42	0.75	0.44	0.5	0.71	0	0.56	0.67	0.56	0.45	0.65	0.25	0.61	0.67	0.6	0.11	0	0.62	0.24	0.64	0.38	0	0.53	0.2	0	0.58	0.5	0.33	0.74	0.59	0.57	0.5	0	0.38	0.67	0.35	0.43	0	0	0.37	0.56	0.3	0.44	0.5	0.77	0.54	0.6	0.37	0
chr2:185215694	0.92	1	0.64	0.79	0.5	0.61	0.86	0.45	0.8	0.43	0.58	0.65	0.67	0.5	0.61	0.62	0.62	0	0.43	0.79	0.8	0.71	0.93	0.73	0.88	0.47	0.79	0.8	0.55	0.92	0.8	0.57	0.58	0	0.5	0.71	1	0.62	0.5	0.5	0.62	0.89	0.88	0.88	0.64	0.67	0.56	0.79	0.58	0.75	0.72	0.75	0.62	0.73	0.65	0.33	0.57	0.76	0.85	0.67	0.54	0.5	0.62	0.52	1	0.36	0.73	0.73	0.56	0.33	0.73	0.73	0.75	0.62	0.87	0.57	0.17	0.53	0.5	0.41	0.47	0.69	0.71	0.56	0	0.62	0.73	0.71	0.57	0.67	0.69	0.36	0.77	0.75	0.31	0.83	0.35	0.75	0.75	0.62	0.44	0.69	0.48	0.46	0.81	0.7	0.73	0.64	0.43	0.44	0.86	0.5	0.78	0.77	0.75	0	0	0.38	0.87	0.77	0.5	0.56	0.67	0.68	0.45	0.7	0.62	1
